continent_alt,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
"W. Europe, NA, and Aus/NZ",2020-11-30,1062311981,9327.532218149341,9327.66325321863,9327.550967612759,9327.532218149341,9327.516363012399,9327.516363012399,9327.511283854476,429068.3126364849,9327.572013836629,6365.571
"W. Europe, NA, and Aus/NZ",2020-12-07,1062311981,9716.8167365098725,9717.005698381246,9716.8167365098725,9716.8167365098725,9716.772261178812,9716.772261178812,9716.772261178812,446973.51656889723,9716.815577584723,6953.283
"W. Europe, NA, and Aus/NZ",2020-12-14,1062311981,9285.042433869685,9285.11941429995,9285.042433869685,9285.042433869685,9284.979991552593,9284.979991552593,9284.9798006037,427114.0022831829,9285.08700615615,7104.289
"W. Europe, NA, and Aus/NZ",2020-12-21,1062311981,9523.453176140898,9523.57257561825,9523.492046589383,9523.453176140898,9523.449549193754,9523.449549193754,9523.449549193754,438081.1908546115,9523.5041490132935,7545.143
"W. Europe, NA, and Aus/NZ",2020-12-28,1062311981,10381.6443118129,10381.751187231881,10381.693662831107,10381.6443118129,10381.509222984498,10381.509222984498,10381.509222984498,477556.9799962191,10381.673478178676,6421.427
"W. Europe, NA, and Aus/NZ",2021-01-04,1062311981,10026.537453085584,10026.537453085584,10026.537453085584,10026.537453085584,10026.225694368872,10026.225694368872,10026.225694368872,461218.47295564023,10026.488542513918,7282.286
"W. Europe, NA, and Aus/NZ",2021-01-11,1062311981,10497.398373556643,10497.405638386506,10497.398373556643,10497.398373556643,10497.123331895327,10497.123331895327,10497.123331895327,482878.0110508052,10497.348066321852,8728.287
"W. Europe, NA, and Aus/NZ",2021-01-18,1062311981,11040.9034744574,11040.952788397646,11040.9034744574,11040.9034744574,11040.813708423764,11040.813708423764,11040.649784778856,507879.55866985297,11040.85997108376,8956.143
"W. Europe, NA, and Aus/NZ",2021-01-25,1062311981,8756.938063920263,8756.99415263938,8756.938063920263,8756.938063920263,8756.824179578894,8756.824179578894,8756.824179578894,402816.4348603291,8756.879018702806,9379.574
"W. Europe, NA, and Aus/NZ",2021-02-01,1062311981,6680.6780161144025,6680.861686732031,6680.6780161144025,6680.6780161144025,6680.232059479452,6680.232059479452,6680.232059479452,307255.7665387271,6679.473185624503,9118.712
"W. Europe, NA, and Aus/NZ",2021-02-08,1062311981,4430.875818215307,4431.0443320092845,4430.985918435717,4430.908072196512,4430.875818215307,4430.875818215307,4430.875818215307,203791.90939587032,4430.2588999102245,8209.428
"W. Europe, NA, and Aus/NZ",2021-02-15,1062311981,3665.1364779463042,3665.1950708744116,3665.1364779463042,3665.1364779463042,3665.0612674927115,3665.0612674927115,3665.0548166385315,168564.12368158455,3664.4374713387947,7076.574
"W. Europe, NA, and Aus/NZ",2021-02-22,1062311981,2568.695617702201,2568.9477032808813,2568.810965631538,2568.695617702201,2568.671919490157,2568.671919490157,2568.6432487291063,118136.73320539402,2568.1898522911742,5711.288
"W. Europe, NA, and Aus/NZ",2021-03-01,1062311981,1191.9752833400066,1192.4800156990375,1192.1232997680459,1192.0454017714553,1191.9752833400066,1191.9752833400066,1191.6444095839577,54825.43779848087,1191.8573434452362,5371.857
"W. Europe, NA, and Aus/NZ",2021-03-08,1062311981,1382.356092403786,1382.9501117487855,1382.817344955187,1382.817344955187,1382.356092403786,1382.356092403786,1381.8349498385924,63574.072041925334,1382.0450443896812,4717.285
"W. Europe, NA, and Aus/NZ",2021-03-15,1062311981,1780.4523022519375,1781.0417425606054,1780.8409245188009,1780.8409245188009,1780.4523022519375,1780.4523022519375,1779.9735903774288,81882.334899068,1780.0507586753913,4123.145
"W. Europe, NA, and Aus/NZ",2021-03-22,1062311981,2566.039905358035,2566.403715301455,2566.277736746092,2566.277736746092,2566.039905358035,2566.039905358035,2565.489304431245,118027.42632764022,2565.8136158182656,3870.002
"W. Europe, NA, and Aus/NZ",2021-03-29,1062311981,2647.52366927054,2647.99161250668,2647.5718539051886,2647.5718539051886,2647.52366927054,2647.52366927054,2647.166708961863,121769.98632763924,2647.1736158182443,4103.856
"W. Europe, NA, and Aus/NZ",2021-04-05,1062311981,3121.6199911928397,3121.852250721458,3121.625512178513,3121.6199911928397,3121.5085212484028,3121.5085212484028,3121.5085212484028,143594.87781765487,3121.6277786446713,3597.716
