continent_alt,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
W. Europe,2021-07-19,530152257,670.2879818621792,670.7934730454834,670.4356215340028,670.3062845584558,670.2879818621792,670.2879818621792,670.1121357789162,27470.223796701102,670.0054584561244,155.573
W. Europe,2021-07-26,530152257,728.0708385816771,728.4720342466426,728.1215863974926,728.1215863974926,728.0708385816771,728.0708385816771,727.9155030621986,29839.43808241489,727.7911727418266,195.86
W. Europe,2021-08-02,530152257,849.9730255999087,850.5495980391428,850.3323843695588,850.3323843695588,849.9730255999087,849.9730255999087,849.89464133022,34816.08232204601,849.1727395620977,264.85699999999997
W. Europe,2021-08-09,530152257,1262.4894758995247,1262.9005674646146,1262.9005674646146,1262.9005674646146,1262.4894758995247,1262.4894758995247,1262.3648563817844,51728.230893475105,1261.664168133539,322.431
W. Europe,2021-08-16,530152257,1202.0920905230614,1202.514274847965,1202.3563375688125,1202.3563375688125,1202.0920905230614,1202.0920905230614,1201.90697828433,49263.545179188994,1201.5498824192437,356.999
W. Europe,2021-08-23,530152257,1069.4649743635573,1069.8769721758338,1069.7253996115694,1069.7253996115694,1069.4649743635573,1069.4649743635573,1069.2469780758724,43831.630893475354,1069.0641681335453,499.146
W. Europe,2021-08-30,530152257,1077.6857424516245,1077.9875907419237,1077.8883708518663,1077.8883708518663,1077.6857424516245,1077.6857424516245,1077.4847501504391,44170.642322046006,1077.3327395620977,571.715
W. Europe,2021-09-06,530152257,2062.228795977814,2062.6639290685457,2062.380023355101,2062.361080998075,2062.228795977814,2062.228795977814,2062.1922338300124,84546.45605476527,2062.1086842625673,595.856
W. Europe,2021-09-13,530152257,1779.3520264523072,1779.801101957537,1779.478377297573,1779.440719844272,1779.3520264523072,1779.3520264523072,1779.3040470842298,72948.49319762194,1779.231541405413,643.715
W. Europe,2021-09-20,530152257,1523.3535590195647,1523.836404059534,1523.664618945646,1523.664618945646,1523.3535590195647,1523.3535590195647,1523.2824197875764,62410.32176905112,1522.2029699768566,693.858
W. Europe,2021-09-27,530152257,1627.1443848615108,1627.4991842674638,1627.3765691730184,1627.2908675462481,1627.1443848615108,1627.1443848615108,1627.144264054992,66668.347483337,1626.0572556911463,721.002
W. Europe,2021-10-04,530152257,1764.8843035019845,1765.3092878001378,1765.0248236888588,1765.0248236888588,1764.8843035019845,1764.8843035019845,1764.7806299006406,72341.36187279149,1764.4234603119876,725.286
W. Europe,2021-10-11,530152257,2242.234542089668,2242.798981352634,2242.485537079287,2242.485537079287,2242.234542089668,2242.234542089668,2242.1125564999247,91907.49901564865,2241.646317454845,840.003
W. Europe,2021-10-18,530152257,2782.332811807813,2782.9748014597317,2782.534981375296,2782.4384667317304,2782.332811807813,2782.332811807813,2782.226120311843,114049.84187279154,2781.7034603119887,957.146
