custom_regions,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
Asia,2020-12-28,4678110154,2396491.307040466,3183794.714028016,3183794.714028016,2396491.307040466,1646427.0899820272,1166550.7018953147,1166550.7018953147,4416981.0651522875,88339.62130304574,333742.283
Oceania,2020-12-28,43202462,-14735.037222856188,-10050.604509671371,-10050.604509671371,-10551.445439680923,-14986.576456174327,-19895.700739186144,-19895.700739186144,-233276.14824950037,-11108.38801188097,1058.036
European Union,2020-12-28,447045744,546753.653484439,546753.653484439,546753.653484439,546753.653484439,546753.653484439,546753.653484439,546753.653484439,14762348.644079851,546753.653484439,358091.174
North America,2020-12-28,370982987,545128.3144377786,545128.3144377786,545128.3144377786,545128.3144377786,545128.3144377786,545128.3144377786,545128.3144377786,1090256.628875557,545128.3144377786,356206.011
Latin America and Caribbean,2021-01-04,655805524,886954.9893470785,899850.587439033,899850.587439033,886954.9893470785,874491.2239054583,863728.1833564957,863728.1833564957,39006970.21248882,847977.6133149745,565684.315
Asia,2021-01-04,4678110154,2441307.593532673,3257012.59076289,3257012.59076289,2441307.593532673,1681881.2213325358,1182150.3761885413,1182150.3761885413,4530954.588652594,90619.09177305188,342260.268
Oceania,2021-01-04,43202462,-14812.443678469775,-10022.599834674846,-10022.599834674846,-10542.641855686448,-15074.695231220596,-20076.162360005586,-20076.162360005586,-233892.28184475895,-11137.727706893284,1066.037
European Union,2021-01-04,447045744,566272.7888752599,566272.7888752599,566272.7888752599,566272.7888752599,566272.7888752599,566272.7888752599,566272.7888752599,15289365.299632018,566272.7888752599,379260.175
North America,2021-01-04,370982987,570694.3688029762,570694.3688029762,570694.3688029762,570694.3688029762,570694.3688029762,570694.3688029762,570694.3688029762,1141388.7376059524,570694.3688029762,376211.01
Latin America and Caribbean,2021-01-11,655805524,933865.6739248371,948679.6999147458,948679.6999147458,933865.6739248371,921416.4644291628,909768.8717330719,909768.8717330719,41009634.06657622,891513.7840560048,585836.335
