custom_regions,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
Latin America and Caribbean,2021-05-24,655799753,249.57015765951334,254.57043969254372,253.99682942707506,251.94876182479277,248.6125458178643,245.0096739043158,244.09245615943274,10292.601395726999,228.72447546059993,170.7977651525587
Asia,2021-05-24,4678110154,109.3190022714624,138.55089588955332,136.33273877852207,117.42787879825661,93.81862117110481,42.70242265261886,39.60340626144193,204.53617114035828,4.090723422807165,14.014064299863428
Oceania,2021-05-24,43198762,-10.179379161464544,5.236472122851043,2.895627321378353,-3.7643537784291756,-12.641630513202545,-18.76824535719596,-19.3404868495809,-191.58369220925837,-9.123032962345636,2.5395334245921215
European Union,2021-05-24,447199451,175.5250474323779,175.52509728349057,175.52506077720062,175.5250474323779,175.524765767044,175.52460566555243,175.524563296235,4739.176731855966,175.52506414281356,161.02460532761253
North America,2021-05-24,370982987,197.9854053680341,197.9854053680341,197.9854053680341,197.9854053680341,197.9854053680341,197.9854053680341,197.9854053680341,395.9708107360682,197.9854053680341,165.72189198530552
Latin America and Caribbean,2021-05-31,655799753,254.39725061552826,259.6319165028079,259.07040272673856,257.0312896573737,253.5128713834314,249.95266243269833,248.83454346838917,10459.535517836524,232.43412261858938,175.17333572402245
Asia,2021-05-31,4678110154,115.78079401495096,148.88125288023286,148.68176910866373,126.02653233416831,99.77206708111595,45.072229782913126,42.10184632472113,214.2532195591699,4.285064391183399,14.735852049370106
Oceania,2021-05-31,43198762,-10.055085180277743,5.7715221157518455,3.283876821688153,-3.659717532141336,-12.550531692487766,-18.901482102453556,-19.78406504782886,-193.21850011416407,-9.200880957817338,2.553420396630811
European Union,2021-05-31,447199451,176.61885403494153,176.61890388605417,176.61886737976428,176.61885403494153,176.6185723696076,176.61841226811603,176.61836989879865,4768.709510125183,176.61887074537717,162.26454289631943
North America,2021-05-31,370982987,199.28539284662426,199.28539284662426,199.28539284662426,199.28539284662426,199.28539284662426,199.28539284662426,199.28539284662426,398.5707856932485,199.28539284662426,166.9192506663385
