continent,date,population,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_90_top_per_100k,estimated_daily_excess_deaths_ci_50_top_per_100k,estimated_daily_excess_deaths_ci_50_bot_per_100k,estimated_daily_excess_deaths_ci_90_bot_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths_raw_estimate_per_100k,daily_excess_deaths_per_100k,daily_covid_deaths_per_100k
Asia,2021-08-02,4679006159,0.5667652731304411,0.6967495400456278,0.5928092017594573,0.5928092017594573,0.5667652731304411,0.5667652731304411,0.46465076562517066,4.269409210964302,0.08371390609733927,0.09162507708509302
Africa,2021-08-02,1371693397,0.2663541679487589,0.47022904960579054,0.47022904960579054,0.47022904960579054,0.2663541679487589,0.2663541679487589,0.1977894451539458,3.6507892286520205,0.06637798597549129,0.06894492618163417
Europe,2021-08-02,747993718,0.43403992793051366,0.4347115449720704,0.4347115449720704,0.4347115449720704,0.43403992793051366,0.43403992793051366,0.4324805863371535,20.859847835585935,0.4257111803180803,0.14503557635493403
Oceania,2021-08-02,43202462,0.01004705622059006,0.04038938977209917,0.01818642253980548,0.01586572159844987,0.01004705622059006,0.01004705622059006,-0.005010158044674299,-0.8468540785312049,-0.04032638469196213,0.02281814402151433
Americas,2021-08-09,1026788511,0.5743105883862221,0.5743105883862221,0.5743105883862221,0.5743105883862221,0.5561707687387517,0.5561707687387517,0.5561707687387517,23.77964639171187,0.49540929982733056,0.27814880760776256
Asia,2021-08-09,4679006159,0.5606634367408125,0.6937064033509646,0.5715904862593096,0.5715904862593096,0.5606634367408125,0.5606634367408125,0.44609974682789855,4.240721067491397,0.08315139348022348,0.09975259363619915
Africa,2021-08-09,1371693397,0.2473928843648571,0.4718035415678976,0.4718035415678976,0.4718035415678976,0.2473928843648571,0.2473928843648571,0.15830267139171683,2.700045735768837,0.049091740650342504,0.06638298339785621
Europe,2021-08-09,747993718,0.4919221302743952,0.49236116036281397,0.4922067995347051,0.4922067995347051,0.4919221302743952,0.4911855009226206,0.4881461950182347,23.573437470305382,0.48109056061847727,0.1535730812113585
Oceania,2021-08-09,43202462,-0.0018859972149629807,0.028002227372141412,0.008952816593326945,0.008952816593326945,-0.0018859972149629807,-0.0018859972149629807,-0.024590058495678076,-1.1923899417419739,-0.05678047341628446,0.031081561972093164
Americas,2021-08-16,1026788511,0.6351731165594959,0.636629796262384,0.6351731165594959,0.6351731165594959,0.6276360315423236,0.6276360315423236,0.6241457034514281,27.096918747574,0.5645191405744585,0.28018018990085874
Asia,2021-08-16,4679006159,0.5742220551626828,0.6596998805461225,0.5747605197931067,0.5747605197931067,0.5742220551626828,0.5742220551626828,0.42272577559832863,4.5833843113701125,0.08987028061510023,0.10338894277142584
Africa,2021-08-16,1371693397,0.24607905687701545,0.4631804646027988,0.4631804646027988,0.4631804646027988,0.24607905687701545,0.24607905687701545,0.1655317767044652,2.935469025065732,0.05337216409210422,0.06453971433676005
Europe,2021-08-16,747993718,0.48493137729948854,0.48533562324825735,0.48493137729948854,0.48493137729948854,0.4842774599523561,0.48362572618071814,0.4806990900061612,23.19648243282999,0.4733976006699998,0.16272115269288934
Oceania,2021-08-16,43202462,-0.0017721107005725194,0.03374428235602506,0.018389815734080984,0.018389815734080984,-0.0017721107005725194,-0.0017721107005725194,-0.032477090292348874,-1.1382263618978352,-0.05420125532846833,0.048279655914054156
Americas,2021-08-23,1026788511,0.6553888893358591,0.6629824794008761,0.6553888893358591,0.6553888893358591,0.6419707948775436,0.6419707948775436,0.6415649495232962,27.909126622274023,0.5814401379640423,0.3203331518383146
Asia,2021-08-23,4679006159,0.5627955176611008,0.664406997265001,0.5894928293133082,0.5894928293133082,0.5627955176611008,0.5627955176611008,0.42043923405892547,5.181107946772693,0.1015903518975038,0.09721237471019112
