world,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
World,2021-07-12,7868684247,11841674.22373499,14857310.162943304,14857310.162943304,12225145.68167849,9685107.813290576,8699664.074922368,8699664.074922368,1097554603.2073998,4899797.335747321,4027535.274
World,2021-07-19,7868684247,12081747.649470408,15287788.077459678,15287788.077459678,12466973.41353574,9895839.387565952,8872728.82991333,8872728.82991333,1113525105.0265174,4971094.218868381,4083100.315
World,2021-07-26,7868684247,12340932.441202689,15673031.83509766,15673031.83509766,12719295.739415752,10123242.254611617,9053635.456933182,9053635.456933182,1130781780.4989684,5048132.948656108,4144605.353
World,2021-08-02,7868684247,12609104.05371038,16075891.255157644,16075891.255157644,12995083.752895826,10370873.27007254,9246275.021660501,9246275.021660501,1150257266.2217417,5135077.081347061,4209273.334
World,2021-08-09,7868684247,12893680.820516475,16445946.521829233,16445946.521829233,13281910.803699445,10622828.230225343,9445338.102604175,9445338.102604175,1171002687.8378484,5227690.570704681,4276436.353
World,2021-08-16,7868684247,13175498.05960983,16789336.175827518,16789336.175827518,13573010.170402747,10870829.621860206,9649779.186934402,9649779.186934402,1193423134.4139552,5327781.8500623,4345304.404
World,2021-08-23,7868684247,13470025.513968159,17137727.165919118,17137727.165919118,13858719.622143503,11113077.31153857,9857817.703063201,9857817.703063201,1216582404.670062,5431171.449419919,4415439.469
World,2021-08-30,7868684247,13752802.812560169,17472308.850567516,17472308.850567516,14128660.193986077,11334530.734848091,10046095.722490346,10046095.722490346,1238840586.5203407,5530538.332680092,4484319.455
World,2021-09-06,7868684247,14032372.942554679,17815481.388310485,17815481.388310485,14386728.190410916,11557234.968361715,10226052.199123612,10226052.199123612,1261931241.596609,5633621.614270577,4549950.489
World,2021-09-13,7868684247,14285259.239055207,18137650.193775304,18137650.193775304,14650781.42245497,11758280.525371261,10399292.306056319,10399292.306056319,1283396528.7795446,5729448.789194395,4613285.495
World,2021-09-20,7868684247,14515090.9613317,18444921.573620073,18444921.573620073,14901471.129776673,11942969.33947742,10557835.965005418,10557835.965005418,1303300057.3653784,5818303.82752401,4673787.524
World,2021-09-27,7868684247,14733189.346841624,18733288.748751655,18733288.748751655,15143140.445291843,12121395.178852743,10712705.12937871,10712705.12937871,1321855515.3007252,5901140.693306809,4730071.556
