continent,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
Americas,2021-05-17,1026782740,2335203.059761894,2366806.6198435193,2362820.776641666,2350104.5191100203,2328354.8602661155,2304505.307916605,2299949.30522911,103673660.31224118,2205822.559834919,1702583.351
Asia,2021-05-17,4679006159,4761326.207134057,5945540.783130596,5803431.303285459,5016937.909084704,4040199.366569944,1865538.179563174,1712771.9527732586,9264520.549505698,181657.2656765823,617301.377
Africa,2021-05-17,1371693397,1178174.5889558217,1199969.6534735155,1195022.690444672,1178174.5889558217,547713.8506907783,90246.1486725726,-140754.72911802857,17950526.888018668,326373.21614579397,126565.705
Europe,2021-05-17,748121993,1636318.6250375796,1636766.7067641483,1636649.685297259,1636318.6250375796,1635116.178645577,1634430.9969628602,1634234.2950385618,80002820.04237087,1632710.6131096098,1050815.325
Oceania,2021-05-17,43198762,-4635.28549662465,1967.53720023279,873.3794133053867,-1835.3638549028337,-5706.269838294118,-8238.823109361489,-8294.461789912571,-85549.96645229262,-4073.8079262996484,1077.048
Americas,2021-05-24,1026782740,2371172.64815119,2403964.485373107,2400202.7506689806,2386771.5283919405,2364892.632058957,2341265.0069489996,2335249.8952435846,105019935.64163892,2234466.7157795513,1734891.347
Asia,2021-05-24,4679006159,5114270.026307741,6481769.662302688,6378001.536050567,5493611.388440118,4389144.379765935,1997872.157228555,1852895.9309753792,9770340.470255531,191575.30333834374,655948.391
Africa,2021-05-24,1371693397,1223394.2259372994,1228476.323277988,1223394.2259372994,1223394.2259372994,573730.7016677357,119387.16945143849,-114445.17847285465,18452966.70059087,335508.48546528857,128674.735
Europe,2021-05-24,748121993,1646414.7571859357,1646802.4452079546,1646735.15399652,1646414.7571859357,1645033.5407840705,1644274.034480722,1643987.6877864867,80471848.37203823,1642282.619837515,1061919.327
Oceania,2021-05-24,43198762,-4397.365777038664,2262.0911295467695,1250.87515496921,-1626.154229581627,-5461.0278783177455,-8107.649643431132,-8354.85088379175,-82761.78322829006,-3941.0372965852407,1097.047
Americas,2021-05-31,1026782740,2407651.4442125163,2441980.3701716717,2438297.964215148,2424925.4657428623,2401851.6873928416,2378503.8458876503,2371171.224481465,106390013.33770332,2263617.3050575173,1768028.325
Asia,2021-05-31,4679006159,5416568.575076984,6965044.322231239,6955711.884141529,5895873.524161742,4667661.950481836,2108743.1583078383,1969784.5223540184,10234455.651005365,200675.6010001052,689720.416
Africa,2021-05-31,1371693397,1270132.533389209,1270132.533389209,1270132.533389209,1270132.533389209,598248.462059288,134823.40512459277,-85784.20180613198,18987460.513163075,345226.55478478316,130632.754
Europe,2021-05-31,748121993,1657779.900936487,1658080.737745871,1658025.1466506026,1657779.900936487,1656236.2763751782,1655279.8189461872,1655026.8669360736,81001686.6817056,1653095.6465654203,1071721.329
Oceania,2021-05-31,43198762,-4343.672315925453,2493.226102561004,1418.5941325742297,-1580.9526665820092,-5421.6743155723625,-8165.206267911508,-8546.471173936776,-83468.00000428747,-3974.6666668708326,1103.046
Americas,2021-06-07,1026782740,2444011.005164031,2479262.799236475,2475578.094297207,2462634.749577376,2438618.8670313116,2414844.8475984945,2407235.46306253,107731795.68441288,2292165.865625806,1798265.322
Asia,2021-06-07,4679006159,5677794.958917605,7430039.219710234,7369700.152624279,6217456.165580584,4933954.701704354,2208789.3728818824,2069948.3869706283,10767576.343368104,211128.9479091785,718106.41
Africa,2021-06-07,1371693397,1311113.1679465016,1311113.1679465016,1311113.1679465016,1311113.1679465016,619524.9968040502,148248.89628783605,-64327.40958381686,19291766.27949872,350759.3868999767,132576.773
Europe,2021-06-07,748121993,1674923.6868252563,1675199.8502071467,1675160.8997784816,1674923.6868252563,1673289.6311306877,1672103.3187285108,1671907.235009067,81814647.191588,1669686.677379347,1079592.353
Oceania,2021-06-07,43198762,-4158.3319610076305,2841.1554776088856,1758.606520751755,-1240.6051384508287,-5317.531829435304,-8095.150061780671,-8459.571952970744,-81413.58839318813,-3876.837542532768,1105.048
