continent,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
Europe,2021-03-22,747993718,3854.02182658845,3855.3818490853496,3855.3818490853496,3854.495747532208,3853.55193894369,3852.7594781002404,3852.7594781002404,188837.66582331498,3853.8299147615303,3147.145
Oceania,2021-03-22,43202462,-16.712965006763742,7.594422440939247,7.594422440939247,2.990166382208733,-16.712965006763742,-29.999191425225344,-29.999191425225344,-204.65148889225316,-9.745308994869198,1.572
Americas,2021-03-29,1026788511,5635.539664273248,5907.937786156563,5907.937786156563,5760.65671847741,5635.539664273248,5580.908156101616,5580.908156101616,246631.9972752163,5138.16660990034,5490.144
Asia,2021-03-29,4679006159,11313.808388260455,16028.373717328144,16028.373717328144,12869.783410943284,7697.6161092709335,6081.459463216277,6081.459463216277,36629.2476032133,718.2205412394765,1128.858
Africa,2021-03-29,1371693397,3503.956611440321,4233.575098779668,4233.575098779668,3503.956611440321,2524.2878130093695,1526.5544790134786,1526.5544790134786,36588.090306534294,665.2380055733507,294.572
Europe,2021-03-29,747993718,4201.511617310254,4202.963451636434,4202.963451636434,4201.800130659175,4201.046960930709,4200.751817740899,4200.751817740899,205852.84582331407,4201.078486190083,3438.427
Oceania,2021-03-29,43202462,1.5749249289237892,26.713026973816362,26.713026973816362,19.843191693499282,1.5749249289237892,-6.301130032127439,-6.301130032127439,-54.11148889225263,-2.5767375662977443,2.286
Americas,2021-04-05,1026788511,6096.009723816872,6347.5110428827975,6347.5110428827975,6210.639337134564,6074.16388899584,6040.262102815701,6040.262102815701,264598.01239042106,5512.458591467105,5227.002
Asia,2021-04-05,4679006159,16402.59563524368,23094.127668304125,23094.127668304125,18646.617947115123,12540.908373359342,10829.10089224955,10829.10089224955,61358.01479215357,1203.098329257913,1505.572
Africa,2021-04-05,1371693397,4210.759686566556,4549.358023422395,4549.358023422395,4210.759686566556,2891.105275882817,2137.499180863979,2137.499180863979,56399.076788869075,1025.4377597976195,265.145
Europe,2021-04-05,747993718,4217.641875739502,4231.638071107866,4231.638071107866,4217.641875739502,4187.349821464476,4164.531092327426,4164.531092327426,202993.63115365396,4142.727166401101,3367.43
Oceania,2021-04-05,43202462,-26.505827653313084,-7.93071608901642,-7.93071608901642,-11.559576045358037,-26.505827653313084,-41.88399259376712,-41.88399259376712,-584.3211663116045,-27.82481744340974,2.571
Americas,2021-04-12,1026788511,6276.291727175919,6513.757636021734,6513.757636021734,6435.76785143631,6259.249996515119,6187.152825869844,6187.152825869844,266303.61239042244,5547.991924800467,6569.431
Asia,2021-04-12,4679006159,19423.309880912853,27400.28712122637,27400.28712122637,21828.255846480817,14548.579090092393,12664.564330204652,12664.564330204652,60109.24336358215,1178.612614972199,2156.573
Africa,2021-04-12,1371693397,4561.669846455527,5033.369694286473,5033.369694286473,4561.669846455527,2992.996701941314,2239.099897003723,2239.099897003723,57995.648217440576,1054.4663312261923,270.288
Europe,2021-04-12,747993718,4104.167613274199,4112.267343760037,4112.267343760037,4104.167613274199,4087.7990250025728,4073.285135461771,4073.285135461771,198508.8711536542,4051.201452115392,3656.855
Oceania,2021-04-12,43202462,0.5686040983088386,30.679248884194898,30.679248884194898,21.95024441822371,0.5686040983088386,-9.759615037303051,-9.759615037303051,166.3388336883938,7.920896842304467,0.572
Americas,2021-04-19,1026788511,6552.212678451905,6863.758559636545,6863.758559636545,6711.338991036142,6549.876976249386,6455.667212578574,6455.667212578574,278371.04096185043,5799.396686705218,5883.285
Asia,2021-04-19,4679006159,23636.110043156394,30010.33933694406,30010.33933694406,27812.78518379587,20940.54460031837,18757.123465519835,18757.123465519835,70580.41764929642,1383.9297578293415,2859.148
Africa,2021-04-19,1371693397,4505.837652504133,4889.694654686925,4889.694654686925,4505.837652504133,2927.9212750497722,2320.2442555415223,2320.2442555415223,56938.076788869155,1035.237759797621,317.717
Europe,2021-04-19,747993718,4253.765096501084,4270.170201885963,4270.170201885963,4253.765096501084,4225.326662336036,4209.884023432385,4209.884023432385,204726.27115365394,4178.087166401101,3445.861
Oceania,2021-04-19,43202462,-0.8317523662525386,20.322320555970204,20.322320555970204,13.788574229102364,-0.8317523662525386,-5.0983077522749305,-5.0983077522749305,-16.90116631160749,-0.8048174434098805,3.143
Americas,2021-04-26,1026788511,6524.063921696101,6798.650656187765,6798.650656187765,6666.774546145643,6470.539140797064,6393.083999756894,6393.083999756894,268666.5838189942,5597.220496229045,5675.428
Asia,2021-04-26,4679006159,32984.10986697143,51898.63842813382,51898.63842813382,36808.813449220856,27654.1800167889,22174.233154744055,22174.233154744055,71904.37764929641,1409.8897578293413,4166.144
Africa,2021-04-26,1371693397,4537.05785889677,5089.473837944923,5089.473837944923,4537.05785889677,2878.0670179743456,2279.31944998181,2279.31944998181,57231.9339317263,1040.5806169404782,318.719
Europe,2021-04-26,747993718,3836.7016773038,3845.4969578438245,3845.4969578438245,3838.558960272773,3826.6752391116975,3811.7013404837785,3811.7013404837785,185588.97115365366,3787.530023543952,3218
Oceania,2021-04-26,43202462,10.386654778965566,33.31120309698989,33.31120309698989,23.129143401023367,10.386654778965566,5.1456046588268425,5.1456046588268425,253.2188336883937,12.058039699447319,2.143
Americas,2021-05-03,1026788511,5675.545342459139,5952.172467483683,5952.172467483683,5792.0735624662575,5584.059783766735,5535.747311516141,5535.747311516141,225879.8682429571,4705.83058839494,5506.286
Asia,2021-05-03,4679006159,42730.96053700228,73268.62241511418,73268.62241511418,49086.70472394253,31887.52238346877,25649.616235917834,25649.616235917834,77874.05691196908,1526.9422923915506,5152
