continent,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
Oceania,2020-12-21,43202462,-33.89008530652077,-29.24399821779386,-29.24399821779386,-29.24399821779386,-33.89008530652077,-33.89008530652077,-33.89008530652077,-538.4947062793622,-25.64260506092201,2.4304980581893694
Americas,2020-12-28,1026788511,132.25079524248636,132.25079524248636,132.25079524248636,132.25079524248636,130.23999420208798,130.23999420208798,130.23999420208798,6178.086055623329,128.71012615881938,88.32970911572656
Asia,2020-12-28,4679006159,53.604404138558344,53.604404138558344,53.604404138558344,53.604404138558344,52.45195533034731,39.02269305421866,29.289621358957376,96.36744122205931,1.8895576710207709,7.135175284132384
Africa,2020-12-28,1371693397,41.86267757056128,41.86267757056128,41.86267757056128,41.86267757056128,37.69421720060359,18.050239950914133,12.23368548813629,887.1352292341811,16.129731440621477,4.618343292936329
Europe,2020-12-28,747993718,150.85582305189962,150.86426247828084,150.8559022151467,150.85582305189962,150.85387211198156,150.85387211198156,150.85261523411106,7392.231561461738,150.86186860125994,70.34621953870473
Oceania,2020-12-28,43202462,-34.084263348748586,-29.262198633592245,-29.262198633592245,-29.262198633592245,-34.084263348748586,-34.084263348748586,-34.084263348748586,-539.9603111727762,-25.712395770132197,2.449017836066843
Americas,2021-01-04,1026788511,138.31963495335566,138.31963495335566,138.31963495335566,138.31963495335566,136.23619067903115,136.23619067903115,136.23619067903115,6454.129520979551,134.46103168707398,91.72992285263308
Asia,2021-01-04,4679006159,54.62954815403506,54.62954815403506,54.62954815403506,54.62954815403506,53.8580446457888,39.855182348995434,30.11659699863214,98.8861590437928,1.9389442949763296,7.317628196351343
Africa,2021-01-04,1371693397,44.36386416213978,44.36386416213978,44.36386416213978,44.36386416213978,40.51438446952831,20.141329022251853,14.669175449855254,953.9311212026719,17.344202203684944,4.952165341654698
Europe,2021-01-04,747993718,156.35926205836543,156.36757513311284,156.3596286493764,156.35926205836543,156.35670848036878,156.35670848036878,156.3559166297239,7661.890877714407,156.36511995335528,74.58462411846084
