location,official_covid_deaths_absolute,estimate_absolute,estimate_top_95_absolute,estimate_bot_95_absolute,difference_pct,vaccinated_per_100,official_covid_deaths_per_100k,estimate_per_100k,estimate_top_95_per_100k,estimate_bot_95_per_100k
Belize,586,788.11,1324.275,544.611,34.5,NA,144.722,194.636,327.05,134.5
Benin,161,12630.293,20202.9,-5222.561,7744.9,NA,1.293,101.44,162.259,-41.945
Bermuda,NA,71.193,248.455,20.365,NA,NA,NA,114.658,400.14,32.798
Bhutan,3,707.1,2006.055,-227.476,23470,NA,0.385,90.666,257.22,-29.167
Bolivia,19330,48710.967,51442.713,48077.936,152,44.5759699874993,163.358,411.656,434.742,406.306
Bosnia,13028,21491.995,22418.474,19006.112,65,NA,399.208,658.565,686.954,582.392
Botswana,2424,8679.313,10963.011,4132.081,258.1,NA,101.116,362.054,457.318,172.368
Brazil,616970,684148.787,718071.738,661070.559,10.9,77.0742968706223,288.313,319.705,335.558,308.921
Britain,147085,146742.264,152092.657,144231.732,-0.2,75.26036067146896,215.645,215.142,222.987,211.461
Brunei,98,235.372,671.028,35.027,140.2,91.7469175507098,22.195,53.308,151.977,7.933
Bulgaria,29764,59299.471,59681.72,56941.507,99.2,NA,431.572,859.829,865.372,825.639
Burkina Faso,296,39441.447,45954.218,-6147.285,13224.8,NA,1.377,183.473,213.769,-28.596
Burundi,38,27189.685,27189.685,-9086.766,71451.8,NA,0.31,221.858,221.858,-74.145
Cambodia,2992,22300.336,39788.257,10394.645,645.3,83.86536032392868,17.656,131.593,234.788,61.338
Cameroon,1836,42330.489,57398.814,-1134.933,2205.6,2.9612409695440047,6.744,155.488,210.837,-4.169
Canada,30022,19212.779,27303.161,17083.491,-36,82.08860569792728,78.864,50.47,71.722,44.876
Cape Verde,351,1236.578,1651.19,445.873,252.3,NA,62.467,220.071,293.858,79.351
"Caribbean Netherlands (Bonaire, Sint Eustatius and Saba)",NA,87.588,133.84,-28.468,NA,NA,NA,331.207,506.106,-107.65
Cayman Islands,NA,153.511,279.734,-32.761,NA,NA,NA,230.85,420.665,-49.266
Central African Republic,101,4436.845,7650.572,-2849.863,4292.9,NA,2.053,90.18,155.5,-57.924
Chad,181,42614.772,61003.026,-13365.955,23444.1,NA,1.07,251.935,360.645,-79.018
Chile,38723,36478.382,37404.513,35863.308,-5.8,88.90390468386968,201.553,189.869,194.69,186.668
China,4636,976311.498,2638087.744,60412.978,20959.4,NA,0.321,67.601,182.666,4.183
Colombia,129205,156699.991,167483.514,150132.137,21.3,77.9118906876023,252.029,305.662,326.696,292.85
Comoros,151,1579.71,1901.491,-322.657,946.2,NA,16.996,177.804,214.022,-36.317
Congo,1118,180173.655,201366.343,-48794.017,16015.7,0.21175932543062803,1.21,195.04,217.981,-52.82
Congo-Brazzaville,359,11123.687,11123.687,-5792.395,2998.5,NA,6.346,196.635,196.635,-102.393
Cook Islands,NA,46.098,83.765,-8.666,NA,NA,NA,262.336,476.697,-49.318
Costa Rica,7333,7358.774,11207.13,6158.482,0.4,NA,142.692,143.193,218.078,119.837
Croatia,11722,17331.786,18343.562,16509.799,47.9,54.694184249190954,287.187,424.626,449.415,404.488
Cuba,8313,22131.056,32529.761,13579.136,166.2,90.36791524063004,73.453,195.547,287.429,119.984
Curaçao,NA,468.064,761.997,-18.788,NA,62.78793174591616,NA,284.026,462.388,-11.401
Cyprus,612,875.423,1000.464,715.611,43,70.93286309786218,68.303,97.703,111.658,79.867
Czech Republic,34697,41846.086,43405.38,40300.823,20.6,62.96588771578638,323.529,390.19,404.729,375.781
Denmark,3030,1967.014,2373.119,1685.185,-35.1,80.56068650828738,52.122,33.836,40.822,28.988
Djibouti,189,5212.951,5518.884,784.155,2658.2,NA,18.859,520.152,550.679,78.244
Dominica,42,70.134,197.367,11.207,67,NA,58.194,97.176,273.468,15.528
Dominican Republic,4220,6863.753,15106.315,3637.347,62.6,63.125639395003375,38.526,62.661,137.91,33.207
Ecuador,33561,66678.931,67603.202,66269.845,98.7,78.35598497669505,187.612,372.748,377.915,370.461
Egypt,21155,290631.148,370638.571,235485.281,1273.8,29.259696446116962,20.291,278.761,355.5,225.867
El Salvador,3800,18956.471,26962.989,10705.152,398.9,NA,58.296,290.81,413.638,164.227
Equatorial Guinea,175,2088.007,2727.944,-195.701,1093.1,17.178325818975356,12.07,144.011,188.148,-13.498
Eritrea,64,2672.876,9994.308,-3041.07,4076.4,NA,1.777,74.216,277.507,-84.44
