location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Latin America and Caribbean,2020-06-29,3737.705,3742.527,3737.705,3675.959,3675.959,2596.875,FALSE
North America,2020-06-29,972.897,972.897,972.897,972.897,972.897,545.5,FALSE
Africa,2020-07-06,3732.819,3732.819,3732.819,3238.675,2181.568,243.375,FALSE
Oceania,2020-07-06,-82.699,-76.642,-77.3,-82.699,-85.833,0.25,FALSE
Europe,2020-07-06,1280.178,1280.264,1280.178,1280.162,1280.037,363.875,FALSE
Asia,2020-07-06,11554.039,11554.039,11554.039,8348.195,6739.811,1065,FALSE
Latin America and Caribbean,2020-07-06,4638.562,4644.389,4638.562,4567.107,4567.107,2578.5,FALSE
North America,2020-07-06,1361.069,1361.069,1361.069,1361.069,1361.069,516.125,FALSE
Africa,2020-07-13,4392.884,4392.884,4392.884,3595.268,2562.378,262.5,FALSE
Asia,2020-07-13,12200.491,12200.491,12200.491,9276.897,6998.301,1155.125,FALSE
Oceania,2020-07-13,-89.362,-79.266,-79.266,-89.362,-91.171,0.25,FALSE
Europe,2020-07-13,1248.405,1248.447,1248.405,1248.4,1248.293,345.75,FALSE
Latin America and Caribbean,2020-07-13,4753.654,4753.654,4753.654,4650.257,4650.257,2688.25,FALSE
North America,2020-07-13,1579.183,1579.183,1579.183,1579.183,1579.183,743,FALSE
Africa,2020-07-20,4403.815,4403.815,4403.815,3656.937,2600.529,272.75,FALSE
Asia,2020-07-20,12213.855,12213.855,12213.855,9591.165,7053.375,1376.5,FALSE
Oceania,2020-07-20,-76.631,-71.659,-73.668,-76.631,-81.073,2.25,FALSE
Europe,2020-07-20,1264.289,1264.378,1264.289,1264.198,1264.109,306,FALSE
Latin America and Caribbean,2020-07-20,4725.235,4742.608,4725.235,4613.935,4613.935,2871.75,FALSE
North America,2020-07-20,1742.783,1742.783,1742.783,1742.783,1742.783,765.125,FALSE
Africa,2020-07-27,4108.405,4108.405,4108.405,3526.335,2579.565,375.75,FALSE
Asia,2020-07-27,12155.759,12155.759,12155.759,10367.953,7244.661,1372.25,FALSE
Oceania,2020-07-27,-65.19,-58.855,-64.042,-65.19,-69.172,5.5,FALSE
Europe,2020-07-27,2163.652,2163.718,2163.652,2163.522,2163.522,284.375,FALSE
Latin America and Caribbean,2020-07-27,4623.094,4659.958,4623.094,4524.159,4514.428,2809,FALSE
North America,2020-07-27,1725.669,1725.669,1725.669,1725.669,1725.669,960.125,FALSE
Africa,2020-08-03,2834.35,2834.35,2834.35,2401.49,1616.001,357.625,FALSE
Asia,2020-08-03,11408.26,11721.162,11408.26,9871.458,8169.166,1383.875,FALSE
Oceania,2020-08-03,-74.055,-71.658,-74.055,-75.801,-79.055,9.25,FALSE
Europe,2020-08-03,1442.597,1442.686,1442.597,1442.372,1442.372,291.25,FALSE
Latin America and Caribbean,2020-08-03,4399.305,4402.719,4399.305,4324.195,4310.48,2864.25,FALSE
North America,2020-08-03,1628.612,1628.612,1628.612,1628.612,1628.612,1052.75,FALSE
Africa,2020-08-10,2707.277,2707.277,2707.277,2331.676,1350.948,411.75,FALSE
Asia,2020-08-10,12043.914,13721.694,13438.154,12043.914,9251.652,1459.5,FALSE
Oceania,2020-08-10,-61.51,-59.392,-61.51,-62.94,-65.303,13.875,FALSE
Europe,2020-08-10,2440.601,2440.751,2440.601,2440.529,2440.529,309.125,FALSE
Latin America and Caribbean,2020-08-10,4127.63,4127.63,4127.63,4031.426,4021.707,2999.75,FALSE
North America,2020-08-10,1677.012,1677.012,1677.012,1677.012,1677.012,988.75,FALSE
Africa,2020-08-17,2783.776,2783.776,2783.776,2542.886,1208.295,327.25,FALSE
Asia,2020-08-17,13359.157,15813.432,15813.432,13359.157,10689.016,1485.375,FALSE
Oceania,2020-08-17,-85.178,-84.427,-85.178,-85.457,-88.734,15.625,FALSE
Europe,2020-08-17,1808.485,1808.624,1808.485,1808.379,1808.379,326.75,FALSE
Latin America and Caribbean,2020-08-17,3852.836,3852.836,3852.836,3762.686,3745.091,2856.75,FALSE
North America,2020-08-17,1542.983,1542.983,1542.983,1542.983,1542.983,954.75,FALSE
Africa,2020-08-24,2181.005,2181.005,2181.005,1828.97,438.566,296.5,FALSE
Asia,2020-08-24,13495.291,15536.928,15536.928,13495.291,10583.923,1420.5,FALSE
Oceania,2020-08-24,-97.666,-93.84,-97.389,-97.666,-103.813,13.125,FALSE
Europe,2020-08-24,1491.769,1491.95,1491.769,1491.689,1491.689,315.25,FALSE
Latin America and Caribbean,2020-08-24,3570.772,3570.772,3570.772,3473.654,3450.603,2788.5,FALSE
North America,2020-08-24,1249.526,1249.526,1249.526,1249.526,1249.526,894.125,FALSE
Africa,2020-08-31,1523.402,1843.134,1843.134,1523.402,195.269,253.375,FALSE
Asia,2020-08-31,12503.053,15217.075,15217.075,12503.053,8111.089,1529.75,FALSE
Oceania,2020-08-31,-76.821,-72.29,-74.123,-76.821,-78.429,17.75,FALSE
Europe,2020-08-31,1292.722,1293.212,1292.722,1292.703,1292.703,311.5,FALSE
Latin America and Caribbean,2020-08-31,3237.856,3252.749,3237.856,3162.912,3162.912,2595,FALSE
North America,2020-08-31,1117.983,1117.983,1117.983,1117.983,1117.983,860.25,FALSE
Africa,2020-09-07,1219.073,1433.944,1433.944,1219.073,-391.815,241.875,FALSE
Asia,2020-09-07,13664.589,16314.818,16314.818,13664.589,11220.109,1590.375,FALSE
Oceania,2020-09-07,-79.83,-68.312,-71.09,-79.83,-80,15,FALSE
Europe,2020-09-07,2295.826,2296.422,2295.878,2295.826,2295.826,365.625,FALSE
Latin America and Caribbean,2020-09-07,2721.453,2721.453,2721.453,2598.085,2584.035,2548.018,FALSE
North America,2020-09-07,984.697,984.697,984.697,984.697,984.697,777.625,FALSE
Africa,2020-09-14,1145.449,1145.449,1145.449,864.655,-371.698,186.25,FALSE
Asia,2020-09-14,15067.411,16464.351,16464.351,15067.411,11097.839,1757.875,FALSE
Oceania,2020-09-14,-89.54,-78.019,-78.019,-89.54,-89.54,7.125,FALSE
Europe,2020-09-14,2392.117,2392.761,2392.138,2392.117,2392.117,374.375,FALSE
Latin America and Caribbean,2020-09-14,2468.692,2468.692,2468.692,2391.64,2363.963,2328.554,FALSE
North America,2020-09-14,995.412,995.412,995.412,995.412,995.412,698,FALSE
Africa,2020-09-21,1225.349,1225.349,1225.349,974.9,-315.62,182.5,FALSE
Asia,2020-09-21,13913.591,16099.633,16099.633,13913.591,10358.277,1828.625,FALSE
Oceania,2020-09-21,-54.917,-43.123,-43.123,-54.917,-55.792,5,FALSE
Europe,2020-09-21,1955.805,1956.286,1955.805,1955.773,1955.773,515.125,FALSE
Latin America and Caribbean,2020-09-21,2472.574,2472.574,2472.574,2385.718,2357.707,2016.417,FALSE
North America,2020-09-21,1130.097,1130.097,1130.097,1130.097,1130.097,732.75,FALSE
Africa,2020-09-28,1128.892,1128.892,1128.892,703.983,-345.845,187.625,FALSE
Asia,2020-09-28,13360.589,15862.551,15862.551,13360.589,9592.243,1720.625,FALSE
Oceania,2020-09-28,-48.509,-37.217,-37.217,-48.509,-48.509,4.375,FALSE
Europe,2020-09-28,2250.705,2251.204,2250.833,2250.705,2250.705,583.25,FALSE
Latin America and Caribbean,2020-09-28,2270.189,2270.189,2270.189,2168.735,2162.315,2046.125,FALSE
North America,2020-09-28,842.983,842.983,842.983,842.983,842.983,730.375,FALSE
Africa,2020-10-05,1226.452,1226.452,1226.452,1008.214,-479.075,184.375,FALSE
Asia,2020-10-05,12378.756,14552.711,14552.711,12378.756,7993.168,1698.625,FALSE
Oceania,2020-10-05,-67.33,-55.274,-55.274,-67.33,-67.33,2.875,FALSE
Europe,2020-10-05,3665.316,3665.696,3665.316,3665.052,3665.052,675.875,FALSE
Latin America and Caribbean,2020-10-05,2471.041,2471.041,2471.041,2375.1,2365.214,2602.625,FALSE
North America,2020-10-05,1155.012,1155.012,1155.012,1155.012,1155.012,714.875,FALSE
Africa,2020-10-12,1443.044,1443.044,1443.044,1216.186,-60.934,223.875,FALSE
Asia,2020-10-12,11256.044,12420.295,12420.295,11256.044,7650.212,1644.25,FALSE
Oceania,2020-10-12,-58.294,-45.85,-45.85,-58.294,-58.31,1,FALSE
Europe,2020-10-12,4317.813,4318.141,4317.813,4317.643,4317.643,854.5,FALSE
Latin America and Caribbean,2020-10-12,2387.082,2387.082,2387.082,2293.077,2293.077,2116.25,FALSE
North America,2020-10-12,880.554,880.554,880.554,880.554,880.554,716.875,FALSE
Africa,2020-10-19,1466.599,1466.599,1466.599,1205.395,-308.031,227.75,FALSE
Asia,2020-10-19,11189.015,11685.932,11685.932,11189.015,7440.904,1532.75,FALSE
Oceania,2020-10-19,-40.685,-30.846,-32.048,-40.685,-40.847,1.625,FALSE
Europe,2020-10-19,5780.613,5780.964,5780.613,5780.513,5780.513,1166.625,FALSE
Latin America and Caribbean,2020-10-19,2516.614,2516.614,2516.614,2412.322,2412.322,1627,FALSE
North America,2020-10-19,1085.412,1085.412,1085.412,1085.412,1085.412,739.5,FALSE
