location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Europe,2020-10-05,59.431,59.466,59.436,59.427,59.42,30.2,FALSE
Latin America and Caribbean,2020-10-05,91.493,93.98,92.341,90.474,88.946,62.146,FALSE
Asia,2020-10-05,33.454,40.955,33.454,22.889,5.96,4.35,FALSE
Africa,2020-10-05,19.76,23.294,19.76,-1.543,-24.887,2.668,FALSE
North America,2020-10-05,89.732,89.732,89.732,89.732,89.732,59.241,FALSE
Oceania,2020-10-12,-17.356,-7.466,-13.137,-17.791,-21.695,2.159,FALSE
Europe,2020-10-12,63.47,63.507,63.476,63.467,63.459,31.028,FALSE
Latin America and Caribbean,2020-10-12,94.038,96.587,94.865,92.974,91.364,64.104,FALSE
Asia,2020-10-12,35.135,43.653,35.135,24.352,6.834,4.596,FALSE
Africa,2020-10-12,20.571,23.839,20.571,-1.727,-25.42,2.789,FALSE
North America,2020-10-12,91.615,91.615,91.615,91.615,91.615,60.648,FALSE
Oceania,2020-10-19,-17.637,-7.452,-13.276,-18.118,-21.944,2.173,FALSE
Europe,2020-10-19,68.88,68.916,68.885,68.875,68.868,32.157,FALSE
Latin America and Caribbean,2020-10-19,96.71,99.328,97.537,95.596,93.907,65.902,FALSE
Asia,2020-10-19,36.799,46.19,36.799,25.618,7.847,4.828,FALSE
Africa,2020-10-19,21.408,24.311,21.408,-1.869,-25.854,2.907,FALSE
North America,2020-10-19,93.847,93.847,93.847,93.847,93.847,62.133,FALSE
Oceania,2020-10-26,-18.012,-7.542,-13.533,-18.584,-22.344,2.173,FALSE
Europe,2020-10-26,75.375,75.412,75.379,75.369,75.362,33.783,FALSE
Latin America and Caribbean,2020-10-26,99.365,102.021,100.169,98.197,96.429,67.73,FALSE
Asia,2020-10-26,38.485,48.602,38.485,27.137,8.834,5.049,FALSE
Africa,2020-10-26,22.091,24.64,22.091,-1.928,-26.482,3.029,FALSE
North America,2020-10-26,96.339,96.339,96.339,96.339,96.339,63.768,FALSE
Oceania,2020-11-02,-18.064,-7.348,-13.437,-18.638,-22.321,2.177,FALSE
Europe,2020-11-02,84.103,84.141,84.107,84.098,84.089,36.191,FALSE
Latin America and Caribbean,2020-11-02,102.102,104.807,102.907,100.871,99.038,69.447,FALSE
Asia,2020-11-02,40.285,50.926,40.285,28.367,9.626,5.264,FALSE
Africa,2020-11-02,23.047,25.922,23.047,-1.316,-26.555,3.159,FALSE
North America,2020-11-02,99.968,99.968,99.968,99.968,99.968,65.48,FALSE
Oceania,2020-11-09,-17.901,-6.932,-13.14,-18.377,-22.074,2.177,FALSE
Europe,2020-11-09,93.181,93.22,93.186,93.176,93.167,39.718,FALSE
Latin America and Caribbean,2020-11-09,104.856,107.61,105.642,103.563,101.658,71.103,FALSE
Asia,2020-11-09,42.088,53.341,42.088,29.905,10.434,5.499,FALSE
Africa,2020-11-09,24.078,27.352,24.078,-0.614,-26.569,3.321,FALSE
North America,2020-11-09,103.72,103.72,103.72,103.72,103.72,67.607,FALSE
Oceania,2020-11-16,-18.076,-6.865,-13.199,-18.489,-22.42,2.177,FALSE
Europe,2020-11-16,102.187,102.229,102.191,102.181,102.171,43.752,FALSE
Asia,2020-11-16,43.695,55.65,43.695,31.366,11.172,5.732,FALSE
Latin America and Caribbean,2020-11-16,107.634,110.437,108.397,106.292,104.322,72.912,FALSE
Africa,2020-11-16,25.108,28.819,25.108,0.181,-26.423,3.469,FALSE
North America,2020-11-16,108.168,108.168,108.168,108.168,108.168,69.949,FALSE
