location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Asia,2020-11-09,0.258,0.355,0.272,0.208,0.12,0.033,FALSE
Oceania,2020-11-09,0.023,0.071,0.045,0.02,-0.005,0,FALSE
Africa,2020-11-09,0.147,0.203,0.151,0.071,-0.054,0.022,FALSE
Europe,2020-11-09,1.297,1.297,1.297,1.297,1.297,0.485,FALSE
North America,2020-11-09,0.536,0.536,0.536,0.536,0.536,0.286,FALSE
Latin America and Caribbean,2020-11-16,0.397,0.408,0.4,0.39,0.381,0.249,FALSE
Asia,2020-11-16,0.23,0.329,0.256,0.194,0.105,0.033,FALSE
Oceania,2020-11-16,-0.025,0.019,-0.004,-0.027,-0.052,0,FALSE
Africa,2020-11-16,0.147,0.209,0.157,0.077,-0.038,0.021,FALSE
Europe,2020-11-16,1.286,1.287,1.287,1.286,1.286,0.561,FALSE
North America,2020-11-16,0.635,0.635,0.635,0.635,0.635,0.32,FALSE
Latin America and Caribbean,2020-11-23,0.403,0.414,0.406,0.397,0.388,0.231,FALSE
Asia,2020-11-23,0.244,0.346,0.272,0.193,0.1,0.036,FALSE
Oceania,2020-11-23,-0.016,0.036,0.008,-0.017,-0.044,0,FALSE
Africa,2020-11-23,0.135,0.193,0.135,0.062,-0.047,0.024,FALSE
Europe,2020-11-23,1.266,1.266,1.266,1.266,1.266,0.619,FALSE
North America,2020-11-23,0.701,0.701,0.701,0.701,0.701,0.432,FALSE
Latin America and Caribbean,2020-11-30,0.42,0.43,0.423,0.413,0.405,0.257,FALSE
Asia,2020-11-30,0.232,0.329,0.253,0.18,0.086,0.036,FALSE
Oceania,2020-11-30,0.048,0.103,0.077,0.048,0.021,0,FALSE
Africa,2020-11-30,0.164,0.212,0.164,0.085,-0.03,0.021,FALSE
North America,2020-11-30,0.82,0.82,0.82,0.82,0.82,0.431,FALSE
Europe,2020-11-30,1.233,1.233,1.233,1.233,1.233,0.652,FALSE
Latin America and Caribbean,2020-12-07,0.501,0.509,0.503,0.492,0.481,0.266,FALSE
Asia,2020-12-07,0.233,0.322,0.252,0.186,0.106,0.035,FALSE
Oceania,2020-12-07,-0.003,0.056,0.027,-0.004,-0.032,0,FALSE
Africa,2020-12-07,0.221,0.289,0.221,0.14,0.022,0.022,FALSE
